date,Crakehill,Skip Bridge,Westwick,Skelton,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme
01/04/1993,7.59,2.745,8.062,17.46,0.8,10.4,2.4,4
02/04/1993,7.29,2.578,7.27,16.61,0,1.6,13.6,22.8
03/04/1993,7.11,2.528,6.801,15.23,16,38.4,47.2,5.6
04/04/1993,9.05,4.101,9.408,20.33,0,1.6,4,48
05/04/1993,17.9,6.957,45.864,44.18,92,40,76.8,26.4
06/04/1993,58.6,7.27,64.776,120,24.8,0,21.6,6.4
07/04/1993,22.9,4.159,26.603,a,2.4,0,0,3.2
08/04/1993,14.1,3.551,16.599,37.99,17.6,7.2,51.2,0
09/04/1993,45.3,22.968,70.041,92.73,55.2,23.2,91.2,0.8
10/04/1993,63.5,19.284,46.38,148.5,0.8,0.8,0.8,0
11/04/1993,25.5,8.393,25.626,77.64,16,8,3.2,4
12/04/1993,22.6,13.597,25.381,62.7,37.2,6.4,15.2,7.2
13/04/1993,33.1,11.988,23.8,72,0,0,0,21.6
14/04/1993,19.6,7.377,17.473,52.73,0,0,0,27.2
15/04/1993,15,5.763,13.984,38.61,0,0,0.8,12
16/04/1993,13.4,5.112,11.856,32.41,0,4,55.2,22
17/04/1993,12,4.634,11.106,29.05,0,0,7.2,41.6
18/04/1993,11.9,4.817,28.253,34.01,32.8,8.8,143.2,1.6
19/04/1993,25.6,5.872,36.554,66.89,4.8,4,12,18
20/04/1993,18.6,5.122,19.74,52.91,5.6,1.6,12.8,103.6
21/04/1993,16.4,4.823,18.456,40,2.4,0,4.8,26.4
22/04/1993,14.3,4.348,14.608,37.47,0,0,4.8,7.2
23/04/1993,12.7,4.059,14.354,30.47,8.8,20,33.6,19.2
24/04/1993,15.6,4.39,17.31,36.89,5.6,0.8,0.8,8.8
25/04/1993,43,25.141,60.588,90.87,13.6,60,83.2,36
26/04/1993,55.3,18.877,37.16,134.9,18.4,0,7.2,6.4
27/04/1993,24.4,11.684,22.181,73.96,-999,0,0,0
28/04/1993,17.3,7.952,16.25,48.21,1.6,0,0,0
29/04/1993,14.3,6.379,12.918,37.13,1.6,0,0,0
30/04/1993,12.4,5.288,10.971,31.33,0.8,0,0,4
01/05/1993,11.2,4.704,12.668,29.42,0.8,0,0,4
02/05/1993,10.2,4.472,9.636,25.83,0,4.8,8.8,28
03/05/1993,9.43,3.817,9.117,22.82,0,0,0,0
04/05/1993,8.8,3.549,8.712,21.51,0,0,0,0
05/05/1993,8.32,3.34,7.874,19.93,0.8,0,0,0
06/05/1993,8.04,3.257,7.381,19.06,0,0,0,0
07/05/1993,7.74,3.111,7.01,18.14,0,0,0,0
08/05/1993,7.38,2.975,6.741,17.15,0,0,0,0
09/05/1993,7.17,2.94,6.371,16.21,0,0,0,0
